,symbol,metric,value
237,ARE,Forward Dividend & Yield,5.08 (4.11%)
238,ARE,Ex-Dividend Date,"Mar 27, 2024"
239,ARE,1y Target Est,143.58 
240,ALGN,Previous Close,261.12 
241,ALGN,Open,261.53 
242,ALGN,Bid,257.49 x 200
243,ALGN,Ask,260.07 x 200
244,ALGN,Day's Range,258.02 - 262.19 
245,ALGN,52 Week Range,176.34 - 413.20 
246,ALGN,Volume,"17,959 "
247,ALGN,Avg. Volume,"590,630 "
248,ALGN,Market Cap (intraday),19.482B 
249,ALGN,Beta (5Y Monthly),1.66
250,ALGN,PE Ratio (TTM),42.70 
251,ALGN,EPS (TTM),6.06 
252,ALGN,Earnings Date,"Jul 24, 2024 - Jul 29, 2024"
253,ALGN,Forward Dividend & Yield,--
254,ALGN,Ex-Dividend Date,--
255,ALGN,1y Target Est,338.96 
256,ALLE,Previous Close,123.07 
257,ALLE,Open,123.41 
258,ALLE,Bid,121.36 x 800
259,ALLE,Ask,121.59 x 800
260,ALLE,Day's Range,120.99 - 123.03 
261,ALLE,52 Week Range,95.94 - 136.91 
262,ALLE,Volume,"80,783 "
263,ALLE,Avg. Volume,"661,137 "
264,ALLE,Market Cap (intraday),10.624B 
265,ALLE,Beta (5Y Monthly),1.15
266,ALLE,PE Ratio (TTM),19.82 
267,ALLE,EPS (TTM),6.13 
268,ALLE,Earnings Date,"Jul 24, 2024 - Jul 29, 2024"
269,ALLE,Forward Dividend & Yield,1.92 (1.56%)
270,ALLE,Ex-Dividend Date,"Jun 13, 2024"
271,ALLE,1y Target Est,135.49 
272,LNT,Previous Close,51.17 
273,LNT,Open,50.87 
274,LNT,Bid,50.38 x 300
275,LNT,Ask,50.48 x 300
276,LNT,Day's Range,50.09 - 50.93 
277,LNT,52 Week Range,45.15 - 56.26 
278,LNT,Volume,"368,014 "
279,LNT,Avg. Volume,"1,676,275 "
280,LNT,Market Cap (intraday),12.928B 
281,LNT,Beta (5Y Monthly),0.54
282,LNT,PE Ratio (TTM),18.34 
283,LNT,EPS (TTM),2.75 
284,LNT,Earnings Date,"Aug 1, 2024 - Aug 5, 2024"
285,LNT,Forward Dividend & Yield,1.92 (3.75%)
286,LNT,Ex-Dividend Date,"Apr 29, 2024"
287,LNT,1y Target Est,53.01 
288,ALL,Previous Close,166.17 
289,ALL,Open,165.00 
290,ALL,Bid,165.22 x 800
291,ALL,Ask,165.27 x 1000
292,ALL,Day's Range,163.64 - 165.84 
293,ALL,52 Week Range,100.57 - 177.37 
294,ALL,Volume,"285,359 "
295,ALL,Avg. Volume,"1,627,967 "
296,ALL,Market Cap (intraday),43.607B 
297,ALL,Beta (5Y Monthly),0.51
298,ALL,PE Ratio (TTM),36.16 
299,ALL,EPS (TTM),4.57 
300,ALL,Earnings Date,"Jul 31, 2024"
301,ALL,Forward Dividend & Yield,3.68 (2.21%)
302,ALL,Ex-Dividend Date,"May 31, 2024"
303,ALL,1y Target Est,189.63 
304,GOOGL,Previous Close,177.85 
305,GOOGL,Open,176.64 
306,GOOGL,Bid,175.78 x 400
307,GOOGL,Ask,175.88 x 300
308,GOOGL,Day's Range,175.21 - 177.15 
309,GOOGL,52 Week Range,115.35 - 178.77 
310,GOOGL,Volume,"9,069,539 "
311,GOOGL,Avg. Volume,"30,647,185 "
312,GOOGL,Market Cap (intraday),2.182T 
313,GOOGL,Beta (5Y Monthly),1.02
314,GOOGL,PE Ratio (TTM),26.92 
315,GOOGL,EPS (TTM),6.53 
316,GOOGL,Earnings Date,"Jul 23, 2024 - Jul 29, 2024"
317,GOOGL,Forward Dividend & Yield,0.80 (0.45%)
318,GOOGL,Ex-Dividend Date,"Jun 10, 2024"
319,GOOGL,1y Target Est,191.49 
320,MMM,Previous Close,100.79 
321,MMM,Open,100.42 
322,MMM,Bid,100.21 x 3100
323,MMM,Ask,100.23 x 800
324,MMM,Day's Range,98.91 - 100.52 
325,MMM,52 Week Range,71.36 - 106.04 
326,MMM,Volume,"1,330,100 "
327,MMM,Avg. Volume,"5,965,115 "
328,MMM,Market Cap (intraday),55.552B 
329,MMM,Beta (5Y Monthly),1.04
330,MMM,PE Ratio (TTM),-- 
331,MMM,EPS (TTM),-12.73 
332,MMM,Earnings Date,"Jul 23, 2024 - Jul 29, 2024"
333,MMM,Forward Dividend & Yield,2.80 (2.76%)
334,MMM,Ex-Dividend Date,"May 23, 2024"
335,MMM,1y Target Est,105.69 
336,AOS,Previous Close,85.36 
337,AOS,Open,85.49 
338,AOS,Bid,85.14 x 800
339,AOS,Ask,86.00 x 1400
340,AOS,Day's Range,84.84 - 85.72 
341,AOS,52 Week Range,63.88 - 89.96 
342,AOS,Volume,"634,854 "
343,AOS,Avg. Volume,"942,148 "
344,AOS,Market Cap (intraday),12.567B 
345,AOS,Beta (5Y Monthly),1.26
346,AOS,PE Ratio (TTM),22.25 
347,AOS,EPS (TTM),3.85 
