,symbol,metric,value
4429,ISRG,Forward Dividend & Yield,--
4430,ISRG,Ex-Dividend Date,--
4431,ISRG,1y Target Est,424.34 
4432,IVZ,Previous Close,16.09 
4433,IVZ,Open,16.07 
4434,IVZ,Bid,15.76 x 2200
4435,IVZ,Ask,--
4436,IVZ,Day's Range,15.86 - 16.17 
4437,IVZ,52 Week Range,12.48 - 18.71 
4438,IVZ,Volume,"3,518,352 "
4439,IVZ,Avg. Volume,"4,548,767 "
4440,IVZ,Market Cap (intraday),7.197B 
4441,IVZ,Beta (5Y Monthly),1.44
4442,IVZ,PE Ratio (TTM),-- 
4443,IVZ,EPS (TTM),-0.74 
4444,IVZ,Earnings Date,"Jul 23, 2024 - Jul 29, 2024"
4445,IVZ,Forward Dividend & Yield,0.82 (5.13%)
4446,IVZ,Ex-Dividend Date,"May 13, 2024"
4447,IVZ,1y Target Est,16.69 
4448,IQV,Previous Close,235.00 
4449,IQV,Open,235.00 
4450,IQV,Bid,221.22 x 900
4451,IQV,Ask,244.00 x 800
4452,IQV,Day's Range,231.07 - 235.79 
4453,IQV,52 Week Range,167.42 - 261.73 
4454,IQV,Volume,"723,943 "
4455,IQV,Avg. Volume,"881,193 "
4456,IQV,Market Cap (intraday),42.121B 
4457,IQV,Beta (5Y Monthly),1.53
4458,IQV,PE Ratio (TTM),31.54 
4459,IQV,EPS (TTM),7.33 
4460,IQV,Earnings Date,"Jul 30, 2024 - Aug 5, 2024"
4461,IQV,Forward Dividend & Yield,--
4462,IQV,Ex-Dividend Date,--
4463,IQV,1y Target Est,271.24 
4464,IRM,Previous Close,82.85 
4465,IRM,Open,82.69 
4466,IRM,Bid,80.28 x 800
4467,IRM,Ask,80.90 x 1300
4468,IRM,Day's Range,80.40 - 82.69 
4469,IRM,52 Week Range,52.82 - 83.00 
4470,IRM,Volume,"1,175,980 "
4471,IRM,Avg. Volume,"1,412,932 "
4472,IRM,Market Cap (intraday),24.286B 
4473,IRM,Beta (5Y Monthly),0.98
4474,IRM,PE Ratio (TTM),124.55 
4475,IRM,EPS (TTM),0.65 
4476,IRM,Earnings Date,"Aug 1, 2024 - Aug 5, 2024"
4477,IRM,Forward Dividend & Yield,2.60 (3.14%)
4478,IRM,Ex-Dividend Date,"Jun 17, 2024"
4479,IRM,1y Target Est,82.57 
4480,JBHT,Previous Close,164.10 
4481,JBHT,Open,163.34 
4482,JBHT,Bid,159.23 x 100
4483,JBHT,Ask,159.42 x 100
4484,JBHT,Day's Range,156.70 - 163.52 
4485,JBHT,52 Week Range,156.70 - 219.51 
4486,JBHT,Volume,"1,453,305 "
4487,JBHT,Avg. Volume,"832,882 "
4488,JBHT,Market Cap (intraday),16.445B 
4489,JBHT,Beta (5Y Monthly),1.17
4490,JBHT,PE Ratio (TTM),25.34 
4491,JBHT,EPS (TTM),6.29 
4492,JBHT,Earnings Date,"Jul 16, 2024 - Jul 22, 2024"
4493,JBHT,Forward Dividend & Yield,1.72 (1.08%)
4494,JBHT,Ex-Dividend Date,"May 9, 2024"
4495,JBHT,1y Target Est,190.17 
4496,JBL,Previous Close,115.38 
4497,JBL,Open,115.82 
4498,JBL,Bid,114.35 x 800
4499,JBL,Ask,115.73 x 1300
4500,JBL,Day's Range,114.42 - 116.03 
4501,JBL,52 Week Range,83.63 - 156.94 
4502,JBL,Volume,"1,095,629 "
4503,JBL,Avg. Volume,"1,405,520 "
4504,JBL,Market Cap (intraday),13.871B 
4505,JBL,Beta (5Y Monthly),1.42
4506,JBL,PE Ratio (TTM),9.97 
4507,JBL,EPS (TTM),11.54 
4508,JBL,Earnings Date,"Jun 13, 2024 - Jun 17, 2024"
4509,JBL,Forward Dividend & Yield,0.32 (0.28%)
4510,JBL,Ex-Dividend Date,"May 14, 2024"
4511,JBL,1y Target Est,148.46 
4512,JKHY,Previous Close,169.38 
4513,JKHY,Open,169.66 
4514,JKHY,Bid,168.85 x 100
4515,JKHY,Ask,169.22 x 100
4516,JKHY,Day's Range,167.05 - 169.66 
4517,JKHY,52 Week Range,136.57 - 178.37 
4518,JKHY,Volume,"307,335 "
4519,JKHY,Avg. Volume,"382,276 "
4520,JKHY,Market Cap (intraday),12.319B 
4521,JKHY,Beta (5Y Monthly),0.66
4522,JKHY,PE Ratio (TTM),32.56 
4523,JKHY,EPS (TTM),5.19 
4524,JKHY,Earnings Date,"Aug 13, 2024 - Aug 19, 2024"
4525,JKHY,Forward Dividend & Yield,2.20 (1.30%)
4526,JKHY,Ex-Dividend Date,"May 28, 2024"
4527,JKHY,1y Target Est,181.23 
4528,J,Previous Close,136.89 
4529,J,Open,136.93 
4530,J,Bid,130.00 x 800
4531,J,Ask,142.00 x 800
4532,J,Day's Range,135.66 - 138.92 
4533,J,52 Week Range,109.00 - 154.50 
4534,J,Volume,"705,195 "
4535,J,Avg. Volume,"554,685 "
4536,J,Market Cap (intraday),17.378B 
4537,J,Beta (5Y Monthly),0.74
4538,J,PE Ratio (TTM),26.69 
4539,J,EPS (TTM),5.20 
4540,J,Earnings Date,--
4541,J,Forward Dividend & Yield,1.16 (0.85%)
4542,J,Ex-Dividend Date,"May 23, 2024"
4543,J,1y Target Est,160.09 
4544,JNJ,Previous Close,153.50 
4545,JNJ,Open,152.75 
4546,JNJ,Bid,150.92 x 1000
4547,JNJ,Ask,150.94 x 800
4548,JNJ,Day's Range,150.78 - 152.76 
4549,JNJ,52 Week Range,143.13 - 175.97 
4550,JNJ,Volume,"2,125,847 "
4551,JNJ,Avg. Volume,"7,383,614 "
4552,JNJ,Market Cap (intraday),363.072B 
4553,JNJ,Beta (5Y Monthly),0.55
4554,JNJ,PE Ratio (TTM),22.45 
4555,JNJ,EPS (TTM),6.72 
4556,JNJ,Earnings Date,"Jul 17, 2024"
4557,JNJ,Forward Dividend & Yield,4.96 (3.23%)
4558,JNJ,Ex-Dividend Date,"May 20, 2024"
4559,JNJ,1y Target Est,172.72 
4560,JCI,Previous Close,73.19 
4561,JCI,Open,73.66 
4562,JCI,Bid,72.84 x 800
4563,JCI,Ask,72.86 x 800
4564,JCI,Day's Range,72.26 - 73.68 
4565,JCI,52 Week Range,47.90 - 73.68 
4566,JCI,Volume,"981,855 "
4567,JCI,Avg. Volume,"5,470,450 "
4568,JCI,Market Cap (intraday),49.156B 
4569,JCI,Beta (5Y Monthly),1.25
4570,JCI,PE Ratio (TTM),27.13 
4571,JCI,EPS (TTM),2.69 
4572,JCI,Earnings Date,"Jul 31, 2024 - Aug 5, 2024"
4573,JCI,Forward Dividend & Yield,1.48 (2.02%)
4574,JCI,Ex-Dividend Date,"Mar 22, 2024"
4575,JCI,1y Target Est,67.09 
4576,JPM,Previous Close,199.52 
4577,JPM,Open,199.00 
4578,JPM,Bid,198.80 x 1400
4579,JPM,Ask,198.84 x 800
4580,JPM,Day's Range,198.53 - 200.93 
4581,JPM,52 Week Range,134.40 - 205.88 
4582,JPM,Volume,"3,016,664 "
4583,JPM,Avg. Volume,"9,088,053 "
4584,JPM,Market Cap (intraday),570.572B 
4585,JPM,Beta (5Y Monthly),1.12
4586,JPM,PE Ratio (TTM),12.00 
4587,JPM,EPS (TTM),16.56 
4588,JPM,Earnings Date,"Jul 12, 2024"
4589,JPM,Forward Dividend & Yield,4.60 (2.31%)
4590,JPM,Ex-Dividend Date,"Jul 5, 2024"
4591,JPM,1y Target Est,208.05 
4592,JNPR,Previous Close,34.55 
4593,JNPR,Open,34.58 
4594,JNPR,Bid,--
4595,JNPR,Ask,--
4596,JNPR,Day's Range,34.54 - 34.75 
4597,JNPR,52 Week Range,24.87 - 38.04 
4598,JNPR,Volume,"1,444,414 "
4599,JNPR,Avg. Volume,"3,185,487 "
4600,JNPR,Market Cap (intraday),11.271B 
4601,JNPR,Beta (5Y Monthly),0.98
4602,JNPR,PE Ratio (TTM),50.26 
4603,JNPR,EPS (TTM),0.69 
4604,JNPR,Earnings Date,"Jul 25, 2024 - Jul 29, 2024"
4605,JNPR,Forward Dividend & Yield,0.88 (2.54%)
4606,JNPR,Ex-Dividend Date,"Jun 3, 2024"
4607,JNPR,1y Target Est,39.91 
4608,K,Previous Close,62.25 
4609,K,Open,61.88 
4610,K,Bid,61.23 x 1100
4611,K,Ask,61.60 x 900
4612,K,Day's Range,61.61 - 62.00 
4613,K,52 Week Range,47.63 - 64.50 
4614,K,Volume,"1,384,144 "
4615,K,Avg. Volume,"3,214,427 "
4616,K,Market Cap (intraday),21.074B 
4617,K,Beta (5Y Monthly),0.40
4618,K,PE Ratio (TTM),26.12 
4619,K,EPS (TTM),2.36 
4620,K,Earnings Date,"Aug 1, 2024"
4621,K,Forward Dividend & Yield,2.24 (3.63%)
4622,K,Ex-Dividend Date,"Jun 3, 2024"
4623,K,1y Target Est,62.18 
4624,KVUE,Previous Close,19.88 
4625,KVUE,Open,19.86 
4626,KVUE,Bid,19.84 x 2200
4627,KVUE,Ask,19.85 x 900
4628,KVUE,Day's Range,19.77 - 19.90 
4629,KVUE,52 Week Range,17.82 - 26.74 
4630,KVUE,Volume,"1,880,108 "
4631,KVUE,Avg. Volume,"19,964,619 "
4632,KVUE,Market Cap (intraday),38.019B 
4633,KVUE,Beta (5Y Monthly),--
4634,KVUE,PE Ratio (TTM),25.46 
4635,KVUE,EPS (TTM),0.78 
4636,KVUE,Earnings Date,--
4637,KVUE,Forward Dividend & Yield,0.80 (4.02%)
4638,KVUE,Ex-Dividend Date,"May 7, 2024"
4639,KVUE,1y Target Est,22.50 
4640,KDP,Previous Close,33.56 
4641,KDP,Open,33.57 
4642,KDP,Bid,33.83 x 1300
4643,KDP,Ask,33.86 x 1500
4644,KDP,Day's Range,33.42 - 33.88 
4645,KDP,52 Week Range,27.66 - 34.66 
4646,KDP,Volume,"6,162,667 "
4647,KDP,Avg. Volume,"11,402,948 "
4648,KDP,Market Cap (intraday),45.859B 
4649,KDP,Beta (5Y Monthly),0.65
4650,KDP,PE Ratio (TTM),21.83 
4651,KDP,EPS (TTM),1.55 
4652,KDP,Earnings Date,"Jul 25, 2024 - Jul 29, 2024"
4653,KDP,Forward Dividend & Yield,0.86 (2.54%)
4654,KDP,Ex-Dividend Date,"Mar 27, 2024"
4655,KDP,1y Target Est,36.66 
4656,KEY,Previous Close,15.23 
4657,KEY,Open,15.22 
4658,KEY,Bid,15.32 x 3100
4659,KEY,Ask,15.31 x 1800
4660,KEY,Day's Range,15.18 - 15.35 
4661,KEY,52 Week Range,9.10 - 15.86 
4662,KEY,Volume,"5,835,807 "
4663,KEY,Avg. Volume,"13,072,937 "
4664,KEY,Market Cap (intraday),14.445B 
4665,KEY,Beta (5Y Monthly),1.28
4666,KEY,PE Ratio (TTM),19.64 
4667,KEY,EPS (TTM),0.78 
4668,KEY,Earnings Date,"Jul 18, 2024"
4669,KEY,Forward Dividend & Yield,0.82 (5.38%)
4670,KEY,Ex-Dividend Date,"May 28, 2024"
4671,KEY,1y Target Est,16.49 
4672,KEYS,Previous Close,146.36 
4673,KEYS,Open,147.17 
4674,KEYS,Bid,146.53 x 1100
4675,KEYS,Ask,146.64 x 800
4676,KEYS,Day's Range,146.27 - 151.34 
4677,KEYS,52 Week Range,118.57 - 172.72 
4678,KEYS,Volume,"1,757,190 "
4679,KEYS,Avg. Volume,"1,244,183 "
4680,KEYS,Market Cap (intraday),25.75B 
4681,KEYS,Beta (5Y Monthly),1.06
4682,KEYS,PE Ratio (TTM),32.06 
4683,KEYS,EPS (TTM),4.60 
4684,KEYS,Earnings Date,"Aug 15, 2024 - Aug 19, 2024"
4685,KEYS,Forward Dividend & Yield,--
4686,KEYS,Ex-Dividend Date,--
4687,KEYS,1y Target Est,166.66 
4688,KMB,Previous Close,133.87 
4689,KMB,Open,133.28 
4690,KMB,Bid,132.35 x 800
4691,KMB,Ask,132.39 x 900
4692,KMB,Day's Range,132.13 - 133.21 
4693,KMB,52 Week Range,116.32 - 139.75 
4694,KMB,Volume,"395,149 "
4695,KMB,Avg. Volume,"2,220,590 "
4696,KMB,Market Cap (intraday),44.577B 
4697,KMB,Beta (5Y Monthly),0.39
4698,KMB,PE Ratio (TTM),24.29 
4699,KMB,EPS (TTM),5.45 
4700,KMB,Earnings Date,"Jul 23, 2024 - Jul 29, 2024"
4701,KMB,Forward Dividend & Yield,4.88 (3.65%)
4702,KMB,Ex-Dividend Date,"Jun 7, 2024"
4703,KMB,1y Target Est,139.19 
4704,KIM,Previous Close,19.00 
4705,KIM,Open,18.94 
4706,KIM,Bid,18.76 x 1400
4707,KIM,Ask,18.78 x 800
4708,KIM,Day's Range,18.67 - 18.90 
4709,KIM,52 Week Range,16.34 - 22.84 
4710,KIM,Volume,"393,765 "
4711,KIM,Avg. Volume,"4,594,762 "
4712,KIM,Market Cap (intraday),12.67B 
4713,KIM,Beta (5Y Monthly),1.45
4714,KIM,PE Ratio (TTM),35.46 
4715,KIM,EPS (TTM),0.53 
4716,KIM,Earnings Date,--
4717,KIM,Forward Dividend & Yield,0.96 (5.05%)
4718,KIM,Ex-Dividend Date,"Jun 6, 2024"
4719,KIM,1y Target Est,22.28 
4720,KMI,Previous Close,19.39 
4721,KMI,Open,19.40 
4722,KMI,Bid,19.32 x 4000
4723,KMI,Ask,19.33 x 4000
4724,KMI,Day's Range,19.19 - 19.43 
4725,KMI,52 Week Range,15.89 - 19.93 
4726,KMI,Volume,"3,761,295 "
4727,KMI,Avg. Volume,"13,083,440 "
4728,KMI,Market Cap (intraday),42.912B 
4729,KMI,Beta (5Y Monthly),0.88
4730,KMI,PE Ratio (TTM),17.74 
4731,KMI,EPS (TTM),1.09 
4732,KMI,Earnings Date,"Jul 17, 2024 - Jul 22, 2024"
4733,KMI,Forward Dividend & Yield,1.15 (5.93%)
4734,KMI,Ex-Dividend Date,"Apr 29, 2024"
4735,KMI,1y Target Est,20.50 
4736,KLAC,Previous Close,771.71 
4737,KLAC,Open,788.58 
4738,KLAC,Bid,778.21 x 100
4739,KLAC,Ask,779.28 x 100
4740,KLAC,Day's Range,771.79 - 790.52 
4741,KLAC,52 Week Range,418.12 - 790.52 
4742,KLAC,Volume,"184,812 "
4743,KLAC,Avg. Volume,"869,427 "
4744,KLAC,Market Cap (intraday),104.865B 
4745,KLAC,Beta (5Y Monthly),1.33
4746,KLAC,PE Ratio (TTM),40.69 
4747,KLAC,EPS (TTM),19.14 
4748,KLAC,Earnings Date,"Jul 25, 2024 - Jul 29, 2024"
4749,KLAC,Forward Dividend & Yield,5.80 (0.75%)
4750,KLAC,Ex-Dividend Date,"May 14, 2024"
4751,KLAC,1y Target Est,756.98 
4752,KHC,Previous Close,35.78 
4753,KHC,Open,35.96 
4754,KHC,Bid,35.89 x 900
4755,KHC,Ask,35.93 x 900
4756,KHC,Day's Range,35.70 - 36.10 
4757,KHC,52 Week Range,30.68 - 38.97 
4758,KHC,Volume,"5,213,922 "
4759,KHC,Avg. Volume,"7,571,009 "
4760,KHC,Market Cap (intraday),43.618B 
4761,KHC,Beta (5Y Monthly),0.65
4762,KHC,PE Ratio (TTM),15.69 
4763,KHC,EPS (TTM),2.29 
4764,KHC,Earnings Date,"Jul 31, 2024 - Aug 5, 2024"
4765,KHC,Forward Dividend & Yield,1.60 (4.45%)
4766,KHC,Ex-Dividend Date,"Jun 6, 2024"
4767,KHC,1y Target Est,39.48 
4768,KR,Previous Close,54.44 
4769,KR,Open,54.51 
4770,KR,Bid,54.00 x 1100
4771,KR,Ask,--
4772,KR,Day's Range,53.83 - 54.53 
4773,KR,52 Week Range,42.10 - 58.34 
4774,KR,Volume,"10,570,778 "
4775,KR,Avg. Volume,"5,215,703 "
4776,KR,Market Cap (intraday),39.436B 
4777,KR,Beta (5Y Monthly),0.49
4778,KR,PE Ratio (TTM),18.31 
4779,KR,EPS (TTM),2.96 
4780,KR,Earnings Date,"Jun 13, 2024 - Jun 17, 2024"
4781,KR,Forward Dividend & Yield,1.16 (2.14%)
4782,KR,Ex-Dividend Date,"May 14, 2024"
4783,KR,1y Target Est,58.07 
4784,LHX,Previous Close,223.62 
4785,LHX,Open,223.85 
4786,LHX,Bid,206.80 x 800
4787,LHX,Ask,--
4788,LHX,Day's Range,223.85 - 225.90 
4789,LHX,52 Week Range,160.25 - 225.90 
4790,LHX,Volume,"651,485 "
4791,LHX,Avg. Volume,"1,052,377 "
4792,LHX,Market Cap (intraday),42.725B 
4793,LHX,Beta (5Y Monthly),0.64
4794,LHX,PE Ratio (TTM),36.63 
4795,LHX,EPS (TTM),6.15 
4796,LHX,Earnings Date,"Jul 24, 2024 - Jul 29, 2024"
4797,LHX,Forward Dividend & Yield,4.64 (2.06%)
4798,LHX,Ex-Dividend Date,"Jun 4, 2024"
4799,LHX,1y Target Est,247.64 
4800,LH,Previous Close,205.34 
4801,LH,Open,204.41 
4802,LH,Bid,201.14 x 1100
4803,LH,Ask,201.31 x 1000
4804,LH,Day's Range,200.97 - 205.16 
4805,LH,52 Week Range,179.59 - 234.09 
4806,LH,Volume,"780,889 "
4807,LH,Avg. Volume,"776,303 "
4808,LH,Market Cap (intraday),16.959B 
4809,LH,Beta (5Y Monthly),1.01
4810,LH,PE Ratio (TTM),42.90 
4811,LH,EPS (TTM),4.69 
4812,LH,Earnings Date,"Jul 25, 2024 - Jul 29, 2024"
4813,LH,Forward Dividend & Yield,2.88 (1.43%)
4814,LH,Ex-Dividend Date,"May 28, 2024"
4815,LH,1y Target Est,241.60 
4816,LRCX,Previous Close,942.04 
4817,LRCX,Open,973.73 
4818,LRCX,Bid,963.15 x 100
4819,LRCX,Ask,964.57 x 100
4820,LRCX,Day's Range,941.83 - 973.73 
4821,LRCX,52 Week Range,"559.41 - 1,007.39 "
4822,LRCX,Volume,"1,290,193 "
4823,LRCX,Avg. Volume,"969,477 "
4824,LRCX,Market Cap (intraday),126.034B 
4825,LRCX,Beta (5Y Monthly),1.51
4826,LRCX,PE Ratio (TTM),35.47 
4827,LRCX,EPS (TTM),27.18 
4828,LRCX,Earnings Date,"Jul 24, 2024 - Jul 29, 2024"
4829,LRCX,Forward Dividend & Yield,8.00 (0.83%)
4830,LRCX,Ex-Dividend Date,"Jun 18, 2024"
4831,LRCX,1y Target Est,986.49 
4832,LW,Previous Close,86.96 
4833,LW,Open,87.06 
4834,LW,Bid,84.31 x 900
4835,LW,Ask,86.77 x 1400
4836,LW,Day's Range,85.92 - 87.21 
4837,LW,52 Week Range,77.41 - 117.38 
4838,LW,Volume,"1,219,909 "
4839,LW,Avg. Volume,"2,529,846 "
4840,LW,Market Cap (intraday),12.529B 
4841,LW,Beta (5Y Monthly),0.79
4842,LW,PE Ratio (TTM),11.55 
4843,LW,EPS (TTM),7.51 
4844,LW,Earnings Date,"Jul 23, 2024 - Jul 29, 2024"
4845,LW,Forward Dividend & Yield,1.44 (1.66%)
4846,LW,Ex-Dividend Date,"May 2, 2024"
4847,LW,1y Target Est,108.62 
4848,LVS,Previous Close,46.82 
4849,LVS,Open,46.55 
4850,LVS,Bid,--
4851,LVS,Ask,--
4852,LVS,Day's Range,46.15 - 46.91 
4853,LVS,52 Week Range,43.77 - 61.25 
4854,LVS,Volume,"3,466,425 "
4855,LVS,Avg. Volume,"4,751,301 "
4856,LVS,Market Cap (intraday),34.429B 
4857,LVS,Beta (5Y Monthly),1.18
4858,LVS,PE Ratio (TTM),22.32 
4859,LVS,EPS (TTM),2.07 
4860,LVS,Earnings Date,"Jul 17, 2024 - Jul 22, 2024"
4861,LVS,Forward Dividend & Yield,0.80 (1.73%)
4862,LVS,Ex-Dividend Date,"May 6, 2024"
4863,LVS,1y Target Est,62.39 
4864,LDOS,Previous Close,149.92 
4865,LDOS,Open,150.08 
4866,LDOS,Bid,150.00 x 1200
4867,LDOS,Ask,150.16 x 900
4868,LDOS,Day's Range,149.95 - 151.15 
4869,LDOS,52 Week Range,77.91 - 151.15 
4870,LDOS,Volume,"231,682 "
4871,LDOS,Avg. Volume,"924,951 "
4872,LDOS,Market Cap (intraday),20.288B 
4873,LDOS,Beta (5Y Monthly),0.66
4874,LDOS,PE Ratio (TTM),64.12 
4875,LDOS,EPS (TTM),2.34 
4876,LDOS,Earnings Date,"Jul 30, 2024 - Aug 5, 2024"
4877,LDOS,Forward Dividend & Yield,1.52 (1.01%)
4878,LDOS,Ex-Dividend Date,"Jun 14, 2024"
4879,LDOS,1y Target Est,160.86 
4880,LEN,Previous Close,162.71 
4881,LEN,Open,160.20 
4882,LEN,Bid,145.00 x 2900
4883,LEN,Ask,--
4884,LEN,Day's Range,155.38 - 161.78 
4885,LEN,52 Week Range,102.90 - 172.59 
4886,LEN,Volume,"2,578,759 "
4887,LEN,Avg. Volume,"1,962,940 "
4888,LEN,Market Cap (intraday),42.965B 
4889,LEN,Beta (5Y Monthly),1.55
4890,LEN,PE Ratio (TTM),10.94 
4891,LEN,EPS (TTM),14.25 
4892,LEN,Earnings Date,"Jun 12, 2024 - Jun 17, 2024"
4893,LEN,Forward Dividend & Yield,2.00 (1.28%)
4894,LEN,Ex-Dividend Date,"Apr 23, 2024"
4895,LEN,1y Target Est,180.35 
4896,LIN,Previous Close,432.61 
4897,LIN,Open,431.48 
4898,LIN,Bid,435.01 x 100
4899,LIN,Ask,435.15 x 100
4900,LIN,Day's Range,431.48 - 437.17 
4901,LIN,52 Week Range,350.60 - 477.71 
4902,LIN,Volume,"1,227,432 "
4903,LIN,Avg. Volume,"2,450,201 "
4904,LIN,Market Cap (intraday),209.131B 
4905,LIN,Beta (5Y Monthly),0.95
4906,LIN,PE Ratio (TTM),33.78 
4907,LIN,EPS (TTM),12.88 
4908,LIN,Earnings Date,--
4909,LIN,Forward Dividend & Yield,5.56 (1.28%)
4910,LIN,Ex-Dividend Date,"Jun 4, 2024"
4911,LIN,1y Target Est,440.15 
4912,LYV,Previous Close,99.43 
4913,LYV,Open,99.24 
4914,LYV,Bid,100.01 x 1000
4915,LYV,Ask,104.62 x 800
4916,LYV,Day's Range,99.17 - 102.34 
4917,LYV,52 Week Range,76.48 - 107.24 
4918,LYV,Volume,"2,466,642 "
4919,LYV,Avg. Volume,"2,328,566 "
4920,LYV,Market Cap (intraday),23.603B 
4921,LYV,Beta (5Y Monthly),1.34
4922,LYV,PE Ratio (TTM),93.56 
4923,LYV,EPS (TTM),1.09 
4924,LYV,Earnings Date,"Jul 25, 2024 - Jul 29, 2024"
4925,LYV,Forward Dividend & Yield,--
4926,LYV,Ex-Dividend Date,--
4927,LYV,1y Target Est,119.04 
4928,LKQ,Previous Close,43.92 
4929,LKQ,Open,43.77 
4930,LKQ,Bid,42.57 x 400
4931,LKQ,Ask,42.70 x 100
4932,LKQ,Day's Range,42.61 - 43.77 
4933,LKQ,52 Week Range,41.30 - 59.38 
4934,LKQ,Volume,"536,221 "
4935,LKQ,Avg. Volume,"1,744,132 "
4936,LKQ,Market Cap (intraday),11.37B 
4937,LKQ,Beta (5Y Monthly),1.33
4938,LKQ,PE Ratio (TTM),13.75 
4939,LKQ,EPS (TTM),3.10 
4940,LKQ,Earnings Date,"Jul 25, 2024"
4941,LKQ,Forward Dividend & Yield,1.20 (2.73%)
4942,LKQ,Ex-Dividend Date,"May 15, 2024"
4943,LKQ,1y Target Est,60.00 
4944,LMT,Previous Close,469.71 
4945,LMT,Open,468.09 
4946,LMT,Bid,468.48 x 1000
4947,LMT,Ask,468.94 x 900
4948,LMT,Day's Range,467.30 - 469.63 
4949,LMT,52 Week Range,393.77 - 479.50 
4950,LMT,Volume,"218,682 "
4951,LMT,Avg. Volume,"1,038,011 "
4952,LMT,Market Cap (intraday),112.574B 
4953,LMT,Beta (5Y Monthly),0.46
4954,LMT,PE Ratio (TTM),17.16 
4955,LMT,EPS (TTM),27.34 
4956,LMT,Earnings Date,"Jul 16, 2024 - Jul 22, 2024"
4957,LMT,Forward Dividend & Yield,12.60 (2.68%)
4958,LMT,Ex-Dividend Date,"Jun 3, 2024"
4959,LMT,1y Target Est,488.95 
4960,L,Previous Close,76.13 
4961,L,Open,76.31 
4962,L,Bid,76.11 x 800
4963,L,Ask,80.99 x 1200
4964,L,Day's Range,76.03 - 76.62 
4965,L,52 Week Range,55.94 - 78.55 
4966,L,Volume,"549,612 "
4967,L,Avg. Volume,"704,564 "
4968,L,Market Cap (intraday),16.873B 
4969,L,Beta (5Y Monthly),0.82
4970,L,PE Ratio (TTM),11.31 
4971,L,EPS (TTM),6.74 
4972,L,Earnings Date,"Jul 29, 2024 - Aug 2, 2024"
4973,L,Forward Dividend & Yield,0.25 (0.33%)
4974,L,Ex-Dividend Date,"May 29, 2024"
4975,L,1y Target Est,-- 
4976,LOW,Previous Close,221.13 
4977,LOW,Open,221.76 
4978,LOW,Bid,219.16 x 800
4979,LOW,Ask,219.28 x 800
4980,LOW,Day's Range,217.89 - 221.85 
4981,LOW,52 Week Range,181.85 - 262.49 
4982,LOW,Volume,"699,697 "
4983,LOW,Avg. Volume,"2,389,345 "
4984,LOW,Market Cap (intraday),125.45B 
4985,LOW,Beta (5Y Monthly),1.14
4986,LOW,PE Ratio (TTM),17.55 
4987,LOW,EPS (TTM),12.49 
4988,LOW,Earnings Date,"Aug 20, 2024"
4989,LOW,Forward Dividend & Yield,4.40 (1.99%)
4990,LOW,Ex-Dividend Date,"Apr 23, 2024"
4991,LOW,1y Target Est,252.06 
4992,LULU,Previous Close,299.63 
4993,LULU,Open,299.63 
4994,LULU,Bid,296.57 x 100
4995,LULU,Ask,315.44 x 100
4996,LULU,Day's Range,296.59 - 303.58 
4997,LULU,52 Week Range,295.74 - 516.39 
4998,LULU,Volume,"1,520,538 "
4999,LULU,Avg. Volume,"2,216,069 "
5000,LULU,Market Cap (intraday),37.38B 
5001,LULU,Beta (5Y Monthly),1.30
5002,LULU,PE Ratio (TTM),24.34 
5003,LULU,EPS (TTM),12.19 
5004,LULU,Earnings Date,"Jun 5, 2024"
5005,LULU,Forward Dividend & Yield,--
5006,LULU,Ex-Dividend Date,--
5007,LULU,1y Target Est,448.92 
5008,LYB,Previous Close,100.14 
5009,LYB,Open,99.23 
5010,LYB,Bid,92.00 x 900
5011,LYB,Ask,--
5012,LYB,Day's Range,97.70 - 99.46 
5013,LYB,52 Week Range,84.80 - 107.02 
5014,LYB,Volume,"1,649,172 "
5015,LYB,Avg. Volume,"1,939,111 "
5016,LYB,Market Cap (intraday),32.08B 
5017,LYB,Beta (5Y Monthly),1.19
5018,LYB,PE Ratio (TTM),15.20 
5019,LYB,EPS (TTM),6.48 
5020,LYB,Earnings Date,"Aug 2, 2024 - Aug 6, 2024"
5021,LYB,Forward Dividend & Yield,5.00 (5.08%)
5022,LYB,Ex-Dividend Date,"Mar 1, 2024"
5023,LYB,1y Target Est,105.54 
5024,MTB,Previous Close,153.03 
5025,MTB,Open,153.45 
5026,MTB,Bid,152.13 x 900
5027,MTB,Ask,152.26 x 900
5028,MTB,Day's Range,151.80 - 153.15 
5029,MTB,52 Week Range,108.53 - 156.65 
5030,MTB,Volume,"214,039 "
5031,MTB,Avg. Volume,"1,011,533 "
5032,MTB,Market Cap (intraday),25.404B 
5033,MTB,Beta (5Y Monthly),0.77
5034,MTB,PE Ratio (TTM),10.29 
5035,MTB,EPS (TTM),14.80 
5036,MTB,Earnings Date,"Apr 15, 2024"
5037,MTB,Forward Dividend & Yield,5.40 (3.53%)
5038,MTB,Ex-Dividend Date,"Jun 3, 2024"
5039,MTB,1y Target Est,-- 
5040,MRO,Previous Close,25.88 
5041,MRO,Open,26.09 
5042,MRO,Bid,25.74 x 900
5043,MRO,Ask,25.76 x 1100
5044,MRO,Day's Range,25.72 - 26.20 
5045,MRO,52 Week Range,21.81 - 30.06 
5046,MRO,Volume,"1,645,123 "
5047,MRO,Avg. Volume,"9,108,277 "
5048,MRO,Market Cap (intraday),14.549B 
5049,MRO,Beta (5Y Monthly),2.23
